district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2045,8,0.06705690518671184,3.858537867424856e-4,6.402796299820324e-5,1.5342554185233497,1.09661332912937,0.25,31,3,1.0733792610172022e-6,3.2201377830516066e-6,3.327475709153327e-5,3.327475709153327e-5,3.220132598458214e-6
TUR.10.4_1,Artvin,Hopa,high,2045,9,0.06705690518671184,3.858537867424856e-4,5.5117409615279556e-5,1.3207324366221658,1.09661332912937,0.25,30,3,9.240007276772402e-7,2.7720021830317204e-6,2.7720021830317206e-5,2.7720021830317206e-5,2.771998341088988e-6
TUR.10.4_1,Artvin,Hopa,high,2045,10,0.06705690518671184,3.858537867424856e-4,5.189871144406499e-5,1.243603460048037,1.09661332912937,0.25,31,3,8.700417431542958e-7,2.610125229462887e-6,2.697129403778317e-5,2.697129403778317e-5,2.6101218231211476e-6
TUR.10.4_1,Artvin,Hopa,high,2045,11,0.06705690518671184,3.858537867424856e-4,3.026401526295963e-5,0.7251823004971923,1.09661332912937,0.25,30,3,5.07352800514371e-7,1.522058401543113e-6,1.522058401543113e-5,1.522058401543113e-5,1.5220572432417256e-6
TUR.10.4_1,Artvin,Hopa,high,2045,12,0.06705690518671184,3.858537867424856e-4,2.729953974189847e-5,0.6541469635058071,1.09661332912937,0.25,31,3,4.576556620283394e-7,1.3729669860850183e-6,1.4187325522878521e-5,1.4187325522878521e-5,1.372966043522439e-6
TUR.10.4_1,Artvin,Hopa,high,2046,1,0.06705690518671184,3.858537867424856e-4,2.719468659251323e-5,0.6281034622015411,1.1376963717529034,0.25,31,3,4.558978801041258e-7,1.3676936403123773e-6,1.41328342832279e-5,1.41328342832279e-5,1.367692704978829e-6
TUR.10.4_1,Artvin,Hopa,high,2046,2,0.06705690518671184,3.858537867424856e-4,2.8341211916971254e-5,0.6545846179366359,1.1376963717529034,0.25,28,3,4.7511849009821226e-7,1.4253554702946368e-6,1.3303317722749943e-5,1.3303317722749943e-5,1.425354454465122e-6
TUR.10.4_1,Artvin,Hopa,high,2046,3,0.06705690518671184,3.858537867424856e-4,2.8216743171660674e-5,0.6517097770197132,1.1376963717529034,0.25,31,3,4.730318678849621e-7,1.4190956036548864e-6,1.4663987904433826e-5,1.4663987904433826e-5,1.4190945967218482e-6
TUR.10.4_1,Artvin,Hopa,high,2046,4,0.06705690518671184,3.858537867424856e-4,3.4695365757841934e-5,0.8013462854757657,1.1376963717529034,0.25,30,3,5.816409630104738e-7,1.7449228890314215e-6,1.7449228890314212e-5,1.7449228890314212e-5,1.744921366619856e-6
TUR.10.4_1,Artvin,Hopa,high,2046,5,0.06705690518671184,3.858537867424856e-4,4.77645590705178e-5,1.103207914941687,1.1376963717529034,0.25,31,3,8.007358772192022e-7,2.4022076316576066e-6,2.482281219379527e-5,2.482281219379527e-5,2.4022047463434504e-6
