district_id,province_name,district_name,pi_scenario,year,lambda_import_year,q_import_year,M_climate_mean,weighted_rate_pp_year
TUR.39.3_1,Isparta,Eğirdir,high,2027,0.002508796745484578,2.465685747649049e-4,1.1899957644146502,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2028,0.0024335205362994872,2.388320839851188e-4,1.1526531804568647,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2029,0.0027599770735359393,2.712516325478198e-4,1.3091381969341958,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2030,0.0026809293441688985,2.6348381418184186e-4,1.271643461350961,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2031,0.0026147331590298337,2.5697883779207675e-4,1.2402446064479842,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2032,0.002764820538307458,2.713423228841716e-4,1.3095759548210726,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2033,0.0026656189348687664,2.6197929240723283e-4,1.2643812703619135,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2034,0.002563964249330136,2.519898424795386e-4,1.2161633774688125,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2035,0.0024984838894239296,2.455551351558949e-4,1.1851040655660257,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2036,0.0025715834260718468,2.52380227869331e-4,1.2180477123792561,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2037,0.0026064395194036246,2.56163834218337e-4,1.236310682271279,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2038,0.0026880502248041657,2.64183567398768e-4,1.2750211108490248,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2039,0.0027821567619875725,2.7343116301048465e-4,1.319658696687297,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2040,0.0025465163210837056,2.4992040059523823e-4,1.206174487519587,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2041,0.0026755309660788954,2.6295332716030906e-4,1.2690828470528472,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2042,0.0029629750277845287,2.9119944625832783e-4,1.4054263040490425,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2043,0.0028250002030657494,2.776412440834708e-4,1.339980642797454,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2044,0.003093041257249555,3.0354935140142203e-4,1.465040280265467,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2045,0.0030442916783805425,2.9919000329614587e-4,1.4439972741887057,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2046,0.002748489239197793,2.7012275617155357e-4,1.3036891684156995,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2047,0.0027990816193758047,2.7509431402561457e-4,1.3276866707266106,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2048,0.0030596742080480008,3.002752194155578e-4,1.4492357114231684,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2049,0.0028258830700934987,2.7772800027503486e-4,1.3403994134586765,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2050,0.002878016547211809,2.8285095763291856e-4,1.36512790777173,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2051,0.0028118248834539564,2.763465515600583e-4,1.33373118814874,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2052,0.002833347318480306,2.7806667623797576e-4,1.3420341969740086,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2053,0.0031710684089833246,3.1164755447865566e-4,1.5041313577260746,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2054,0.0029210429368415683,2.870789765693216e-4,1.3855366348523184,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2055,0.0030852329622348034,3.0321306248259905e-4,1.4634169769579046,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2056,0.003102045570635342,3.0443289519299643e-4,1.469305245211331,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2057,0.0031953135776173493,3.1402995687979107e-4,1.5156315845601835,3.858537867424856e-4
TUR.39.3_1,Isparta,Eğirdir,high,2058,0.003028095319259197,2.97598477868144e-4,1.436314846178837,3.858537867424856e-4
