district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,high,2080,5,0.3169429862769339,3.858537867424856e-4,5.026187188961195e-5,1.103207914941687,1.1971809601839998,0.25,31,3,5.256948764945556e-6,1.577084629483667e-5,1.6296541171331228e-4,1.6296541171331228e-4,1.5770721935703946e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,6,0.3169429862769339,3.858537867424856e-4,5.69223093407345e-5,1.2494033544433176,1.1971809601839998,0.25,30,3,5.953571813716494e-6,1.7860715441149485e-5,1.7860715441149483e-4,1.7860715441149483e-4,1.7860555939552825e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,7,0.3169429862769339,3.858537867424856e-4,6.531960921574154e-5,1.4337240087847871,1.1971809601839998,0.25,31,3,6.83185536240222e-6,2.049556608720666e-5,2.1178751623446884e-4,2.1178751623446884e-4,2.0495356054528457e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,8,0.3169429862769339,3.858537867424856e-4,6.989960009873286e-5,1.5342554185233497,1.1971809601839998,0.25,31,3,7.310882038302433e-6,2.19326461149073e-5,2.2663734318737543e-4,2.2663734318737543e-4,2.1932405596225557e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,9,0.3169429862769339,3.858537867424856e-4,6.0171935579167446e-5,1.3207324366221658,1.1971809601839998,0.25,30,3,6.293454074333124e-6,1.8880362222999373e-5,1.8880362222999371e-4,1.8880362222999371e-4,1.888018399009983e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,10,0.3169429862769339,3.858537867424856e-4,5.6658075993754053e-5,1.243603460048037,1.1971809601839998,0.25,31,3,5.925935334714737e-6,1.777780600414421e-5,1.837039953761569e-4,1.837039953761569e-4,1.7777647979833056e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,11,0.3169429862769339,3.858537867424856e-4,3.303940560406282e-5,0.7251823004971923,1.1971809601839998,0.25,30,3,3.4556305993989573e-6,1.036689179819687e-5,1.0366891798196873e-4,1.0366891798196873e-4,1.0366838062214612e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2080,12,0.3169429862769339,3.858537867424856e-4,2.9803074083400993e-5,0.6541469635058071,1.1971809601839998,0.25,31,3,3.117138849074516e-6,9.351416547223549e-6,9.663130432130999e-5,9.663130432130999e-5,9.35137282287446e-6,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,1,0.3169429862769339,3.858537867424856e-4,3.1782841261818184e-5,0.6281034622015411,1.3296459960581422,0.25,31,3,3.3242050452225154e-6,9.972615135667547e-6,1.0305035640189798e-4,1.0305035640189798e-4,9.972565409355205e-6,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,2,0.3169429862769339,3.858537867424856e-4,3.312279953437969e-5,0.6545846179366359,1.3296459960581422,0.25,28,3,3.4643528694319163e-6,1.0393058608295751e-5,9.700188034409367e-5,9.700188034409367e-5,1.0393004600595113e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2081,3,0.3169429862769339,3.858537867424856e-4,3.297733139062675e-5,0.6517097770197132,1.3296459960581422,0.25,31,3,3.4491381838284743e-6,1.0347414551485422e-5,1.069232836986827e-4,1.069232836986827e-4,1.0347361017126744e-5,0.33,1.32
