year,month,M_climate,deltaT_centered
2045,4,1.1303356066766037,1.0025815898200285
2045,5,1.1303356066766037,1.0025815898200285
2045,6,1.1303356066766037,1.0025815898200285
2045,7,1.1303356066766037,1.0025815898200285
2045,8,1.1303356066766037,1.0025815898200285
2045,9,1.1303356066766037,1.0025815898200285
2045,10,1.1303356066766037,1.0025815898200285
2045,11,1.1303356066766037,1.0025815898200285
2045,12,1.1303356066766037,1.0025815898200285
2046,1,1.147014602437371,1.1308815572105466
2046,2,1.147014602437371,1.1308815572105466
2046,3,1.147014602437371,1.1308815572105466
2046,4,1.147014602437371,1.1308815572105466
2046,5,1.147014602437371,1.1308815572105466
2046,6,1.147014602437371,1.1308815572105466
2046,7,1.147014602437371,1.1308815572105466
2046,8,1.147014602437371,1.1308815572105466
2046,9,1.147014602437371,1.1308815572105466
2046,10,1.147014602437371,1.1308815572105466
2046,11,1.147014602437371,1.1308815572105466
2046,12,1.147014602437371,1.1308815572105466
2047,1,1.139285887702081,1.071429905400624
2047,2,1.139285887702081,1.071429905400624
2047,3,1.139285887702081,1.071429905400624
2047,4,1.139285887702081,1.071429905400624
2047,5,1.139285887702081,1.071429905400624
2047,6,1.139285887702081,1.071429905400624
2047,7,1.139285887702081,1.071429905400624
2047,8,1.139285887702081,1.071429905400624
2047,9,1.139285887702081,1.071429905400624
2047,10,1.139285887702081,1.071429905400624
2047,11,1.139285887702081,1.071429905400624
2047,12,1.139285887702081,1.071429905400624
2048,1,1.184212195560138,1.4170168889241381
2048,2,1.184212195560138,1.4170168889241381
2048,3,1.184212195560138,1.4170168889241381
2048,4,1.184212195560138,1.4170168889241381
2048,5,1.184212195560138,1.4170168889241381
2048,6,1.184212195560138,1.4170168889241381
2048,7,1.184212195560138,1.4170168889241381
2048,8,1.184212195560138,1.4170168889241381
2048,9,1.184212195560138,1.4170168889241381
2048,10,1.184212195560138,1.4170168889241381
2048,11,1.184212195560138,1.4170168889241381
2048,12,1.184212195560138,1.4170168889241381
2049,1,1.0758752375758727,0.5836556736605587
2049,2,1.0758752375758727,0.5836556736605587
2049,3,1.0758752375758727,0.5836556736605587
2049,4,1.0758752375758727,0.5836556736605587
2049,5,1.0758752375758727,0.5836556736605587
2049,6,1.0758752375758727,0.5836556736605587
2049,7,1.0758752375758727,0.5836556736605587
2049,8,1.0758752375758727,0.5836556736605587
2049,9,1.0758752375758727,0.5836556736605587
2049,10,1.0758752375758727,0.5836556736605587
2049,11,1.0758752375758727,0.5836556736605587
2049,12,1.0758752375758727,0.5836556736605587
2050,1,1.0991322404612933,0.7625556958561024
2050,2,1.0991322404612933,0.7625556958561024
2050,3,1.0991322404612933,0.7625556958561024
2050,4,1.0991322404612933,0.7625556958561024
2050,5,1.0991322404612933,0.7625556958561024
2050,6,1.0991322404612933,0.7625556958561024
2050,7,1.0991322404612933,0.7625556958561024
2050,8,1.0991322404612933,0.7625556958561024
2050,9,1.0991322404612933,0.7625556958561024
2050,10,1.0991322404612933,0.7625556958561024
