district_id,month,CSI_3_mean,CSI_4_mean,R_suit_mean,pr_mm_mean,delta_CSI
TUR.59.4_1,5,0.519057641451604,0.4669580771456943,0.31065938422796513,4304.6258048255095,-0.05209956430590972
TUR.59.4_1,6,0.7670450717427945,0.6778382196325765,0.41021766330192283,965.0952642018544,-0.08920685211021794
TUR.59.4_1,7,0.8653675315545911,0.7545210067288197,0.42198143225150553,475.6507447110449,-0.11084652482577143
TUR.59.4_1,8,0.8620627205181457,0.7619740665252244,0.46170810454646044,534.0612593508677,-0.10008865399292133
TUR.59.4_1,9,0.7351552536019953,0.660050800248351,0.43473744018741833,918.065645361323,-0.07510445335364427
TUR.59.4_1,10,0.4825944911584737,0.44532147696618163,0.33350243438930555,3200.331351100281,-0.03727301419229203
TUR.59.4_1,11,0.19950167794438786,0.22802369401350867,0.3135897422208711,6618.669607114498,0.028522016069120807
TUR.59.4_1,12,0.05352657962019845,0.11514493471514883,0.3,7655.912330277476,0.06161835509495039
TUR.81.6_1,1,0.013229257230767724,0.08492194292307578,0.3,8807.684660328056,0.07169268569230806
TUR.81.6_1,2,0.016481155162000792,0.08736086637150059,0.3,7790.0506535409695,0.0708797112094998
TUR.81.6_1,3,0.05657095841452157,0.11742821881089117,0.3,9118.48026209718,0.06085726039636961
TUR.81.6_1,4,0.21786714080959454,0.2384003556071959,0.3,6382.903250555123,0.020533214797601358
TUR.81.6_1,5,0.4446592598652204,0.40849444489891534,0.3,4816.538224705582,-0.0361648149663051
TUR.81.6_1,6,0.6463239646279075,0.5631743460199502,0.3137254901960784,4476.271589877823,-0.0831496186079573
TUR.81.6_1,7,0.7572355115315902,0.6469616354958488,0.31614000738862497,3979.3266823439512,-0.11027387603574133
TUR.81.6_1,8,0.7916254549411039,0.677518278400481,0.33519674877861255,2631.9496604151213,-0.11410717654062287
TUR.81.6_1,9,0.6320310817543762,0.5477843722578818,0.295044243768399,6844.359064016407,-0.0842467094964943
TUR.81.6_1,10,0.4083761017763969,0.38238477165709983,0.3044107812992087,8323.643199499327,-0.02599133011929705
TUR.81.6_1,11,0.1593979927953145,0.19454849459648588,0.3,8543.973379534013,0.03515050180117138
TUR.81.6_1,12,0.03341978725569947,0.10006484044177459,0.3,9419.850462313643,0.06664505318607514
