district_id,year,month,temp_c,rh,pr_mm_day,pr_mm,a_raw,lf_raw,eip_dr,R_suit,a_norm,lf_norm,eip_norm,R_norm,CSI_3,CSI_4
TUR.39.3_1,2038,1,1.885924600174322,83.90821520793953,421.20711388710095,13057.420530500129,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2038,2,5.4344089228440735,71.28118058308644,164.24986636470666,4598.996258211787,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2038,3,6.338613654979888,65.13975236275375,177.03820138417575,5488.184242909449,0,0.450006477342952,0,0.3,0,0.012284893788263971,0,0.3,0.00409496459608799,0.07807122344706599
TUR.39.3_1,2038,4,9.988282540265253,62.168854285776675,171.69296503512882,5150.788951053864,0,15.148405002049374,0,0.3,0,0.41354192857530403,0,0.3,0.13784730952510135,0.178385482143826
TUR.39.3_1,2038,5,17.010635319878073,42.04680798913384,21.13827771624346,655.2866092035473,0.10245911587623392,32.71288754955536,0.06264146277226552,0.3,0.3033877158644605,0.8930412544871885,0.24704279326328304,0.3,0.4811572545383107,0.43586794090373304
TUR.39.3_1,2038,6,20.3702719632317,45.19422883980757,80.59121412621867,2417.7364237865604,0.16856804739972361,36.128295029706145,0.10553211023984779,0.3,0.4991403100736385,0.9862797304865425,0.41619314330832663,0.3,0.6338710612895025,0.5504032959671269
TUR.39.3_1,2038,7,24.908326878267175,41.32652589481316,19.261397656993278,597.1033273667916,0.25806419194808905,35.616540236348435,0.16789056607045072,0.3,0.7641438740903594,0.9723091465092741,0.6621198255759996,0.3,0.7995242820585444,0.6746432115439083
TUR.39.3_1,2038,8,23.435681343078613,43.59135230433126,1.5032109764523656,46.59954027002333,0.230092227692167,36.42814932031196,0.14759017973497207,0.44332567116705557,0.6813171751551699,0.9944655640189792,0.5820600070038693,0.44332567116705557,0.752614248726006,0.6752921043362684
TUR.39.3_1,2038,9,22.328402350930606,41.3134903124939,6.246878039583807,187.40634118751422,0.20814710654711122,36.629888873843875,0.1322640988224195,0.8952622446749602,0.6163363277056392,0.999972926941097,0.5216176470899432,0.8952622446749602,0.7126423005788931,0.7582972866029098
TUR.39.3_1,2038,10,14.24125989745645,54.70421450466549,67.77172940519806,2100.9236115611398,0.05383102003819867,27.470324220043867,0.032087794704708315,0.3,0.15939694650274977,0.7499225730371583,0.1265465090163831,0.3,0.34528867618543035,0.3339665071390728
TUR.39.3_1,2038,11,8.922069804195097,70.96349513242217,155.22107419542235,4656.632225862671,0,11.248316507672518,0,0.3,0,0.30707196574022255,0,0.3,0.10235732191340752,0.15176799143505565
TUR.39.3_1,2038,12,3.917420846355312,82.20491771714971,348.5012391990127,10803.538415169392,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2039,1,3.6193755046628855,73.82128588665047,182.07417281182208,5644.299357166485,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2039,2,1.802643736057422,82.82926102742238,507.46598583489043,14209.047603376932,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2039,3,3.634612228283111,73.29996201851547,316.20337154718624,9802.304517962773,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2039,4,10.077444413129022,58.0889401927591,124.1676010189984,3725.028030569952,0,15.459818093777892,0,0.3,0,0.422043310108184,0,0.3,0.14068110336939468,0.180510827527046
TUR.39.3_1,2039,5,19.224221173454733,34.28055737878228,20.38652481384085,631.9822692290663,0.14550285669029805,35.325993600196696,0.09035809647791622,0.3,0.43084286806014604,0.9643774060891439,0.3563504994928189,0.3,0.5838569245473696,0.5128926934105272
TUR.39.3_1,2039,6,22.694013876073498,36.478667926721634,24.57185773853222,737.1557321559666,0.2154531405447351,36.60205285009036,0.13731902125912474,0.3,0.63796994173413335,0.9992130210008122,0.5415530397711914,0.3,0.7262453341687124,0.6196840006265343
TUR.39.3_1,2039,7,25.8717420241412,33.286856857947924,4.909763634118852,152.20267265768442,0.27521159843521165,34.74996772251692,0.18095123715799394,0.9938325165584836,0.8149183946650999,0.9486522619348419,0.7136279565257805,0.9938325165584836,0.8257328710419074,0.8677577824210514
TUR.39.3_1,2039,8,26.790268898010254,41.96142753016134,10.094762477488352,312.9376368021389,0.2903932630415064,33.67657945720363,0.19311287030881102,0.5437746169540111,0.8598722331648178,0.9193494374270667,0.761590499085553,0.5437746169540111,0.8469373898924791,0.7711466966578621
TUR.39.3_1,2039,9,21.200249503640567,44.70735017577515,32.21991544890797,966.5974634672391,0.1853834718746155,36.47479856025101,0.11676869560266838,0.3,0.5489318115823115,0.9957390589280708,0.46050752090938024,0.3,0.668392797139921,0.5762945978549406
TUR.39.3_1,2039,10,13.912242258296294,68.07197420925533,129.3356920962535,4009.4064549838586,0.04858088836998117,26.701699798784997,0.028831744242901643,0.3,0.1438509851582049,0.7289396097829761,0.11370543274689558,0.3,0.3288320092293589,0.32162400692201915
TUR.39.3_1,2039,11,8.320870654109648,77.65382563779326,144.071762449452,4322.15287348356,0,8.905846515124859,0,0.3,0,0.24312400830068462,0,0.3,0.0810413361002282,0.13578100207517116
TUR.39.3_1,2039,12,2.423661571872585,77.8643873216419,165.88258409999085,5142.3601070997165,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2040,1,2.682937421014204,75.41186205852547,174.76416705884145,5417.689178824085,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2040,2,-2.0931818288038757,71.32595749959034,180.4307739153704,5232.4924435457415,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2040,3,6.557428504833403,70.37878892281235,136.89917901948314,4243.874549603977,0,1.4385979585172144,0,0.3,0,0.03927281942417168,0,0.3,0.013090939808057226,0.08481820485604291
TUR.39.3_1,2040,4,9.93808303159826,59.332359839975894,142.53493343884563,4276.048003165369,0,14.97207422179974,0,0.3,0,0.4087282091822883,0,0.3,0.1362427363940961,0.17718205229557207
TUR.39.3_1,2040,5,13.662033024956198,61.17335675622368,115.09885358245893,3568.0644610562267,0.04467499361933314,26.09645651545896,0.026414614610995712,0.3,0.1322853916366141,0.7124168488315732,0.10417285752405336,0.3,0.3162916993307469,0.3122187744980602
TUR.39.3_1,2040,6,21.35187177097096,42.55951662056929,106.55724833399302,3196.7174500197907,0.18845446746786643,36.51681561621113,0.11883881258834501,0.3,0.5580252175764806,0.9968860981280695,0.4686715621033504,0.3,0.6745276259359669,0.5808957194519752
TUR.39.3_1,2040,7,25.294936909395105,27.45197984378777,0.030789567884192855,0.9544766044099785,0.26507648203589457,35.30068110836544,0.17316150448780745,0,0.7849076944154164,0.9636863909830963,0.6829071330894997,0,0.8105004061626708,0.6078753046220031
TUR.39.3_1,2040,8,24.3827543258667,44.9526651705422,32.88802012777631,1019.5286239610656,0.2482877878735772,35.97737449624006,0.16067658456566095,0.3,0.7351953429990215,0.9821596948482866,0.6336696256186324,0.3,0.78367488782198,0.662756165866485
TUR.39.3_1,2040,9,21.62672502854291,44.8145889453064,14.155677252364864,424.67031757094594,0.19401535489311034,36.57621983153277,0.12260267358885926,0.3,0.5744913457457116,0.9985077958425344,0.48351532043642464,0.3,0.6855048206748902,0.5891286155061676
TUR.39.3_1,2040,10,15.713732088313384,44.310923031276815,20.24521460617737,627.6016527914985,0.07878444577469321,30.5308667186055,0.047675103579965274,0.3,0.2332855680514017,0.8334734582406255,0.18801908889531196,0.3,0.41825937172911304,0.3886945287968348
TUR.39.3_1,2040,11,7.806973235133817,57.158067581152636,192.43511502595166,5773.05345077855,0,6.821587363592104,0,0.3,0,0.18622504441247495,0,0.3,0.062075014804158314,0.12155626110311873
TUR.39.3_1,2040,12,3.51896260393893,79.35289745347784,160.0075615676418,4960.234408596896,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2041,1,1.9876613878809355,80.58233324993172,155.202045502298,4811.263410571239,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
TUR.39.3_1,2041,2,0.8325485337306472,73.99110337361378,304.9002051922613,8537.205745383317,0,0.25,0,0.3,0,0.00682484275604193,0,0.3,0.00227494758534731,0.07670621068901048
