district_id,date.x,year,month,era5_value,variable,date.y,hist_value,bias
TUR.40.25_1,1985-08-01,1985,8,23.077295303344727,tas,1985-08-16,23.425411224365234,-0.3481159210205078
TUR.40.25_1,1985-09-01,1985,9,18.979639053344727,tas,1985-09-16,18.088991165161133,0.89064788818359375
TUR.40.25_1,1985-10-01,1985,10,13.65175724029541,tas,1985-10-16,15.798893928527832,-2.147136688232422
TUR.40.25_1,1985-11-01,1985,11,11.93740177154541,tas,1985-11-16,12.628531455993652,-0.6911296844482422
TUR.40.25_1,1985-12-01,1985,12,8.374414443969727,tas,1985-12-16,8.2693939208984375,0.10502052307128906
TUR.40.25_1,1986-01-01,1986,1,7.406152248382568,tas,1986-01-16,5.561485767364502,1.8446664810180664
TUR.40.25_1,1986-02-01,1986,2,6.058984279632568,tas,1986-02-15,5.078861713409424,0.9801225662231445
TUR.40.25_1,1986-03-01,1986,3,6.765771389007568,tas,1986-03-16,5.4865946769714355,1.2791767120361328
TUR.40.25_1,1986-04-01,1986,4,13.197656631469727,tas,1986-04-16,9.599295616149902,3.598361015319824
TUR.40.25_1,1986-05-01,1986,5,15.008447647094727,tas,1986-05-16,15.648689270019531,-0.6402416229248047
TUR.40.25_1,1986-06-01,1986,6,21.345361709594727,tas,1986-06-16,18.960966110229492,2.3843955993652344
TUR.40.25_1,1986-07-01,1986,7,22.547754287719727,tas,1986-07-16,23.281768798828125,-0.7340145111083984
TUR.40.25_1,1986-08-01,1986,8,23.963281631469727,tas,1986-08-16,23.527746200561523,0.4355354309082031
TUR.40.25_1,1986-09-01,1986,9,20.258447647094727,tas,1986-09-16,20.800352096557617,-0.5419044494628906
TUR.40.25_1,1986-10-01,1986,10,14.57289981842041,tas,1986-10-16,14.950934410095215,-0.3780345916748047
TUR.40.25_1,1986-11-01,1986,11,8.93862247467041,tas,1986-11-16,12.300690650939941,-3.3620681762695313
TUR.40.25_1,1986-12-01,1986,12,6.313134670257568,tas,1986-12-16,8.05107593536377,-1.7379412651062012
TUR.40.25_1,1987-01-01,1987,1,5.052880764007568,tas,1987-01-16,4.233884334564209,0.8189964294433594
TUR.40.25_1,1987-02-01,1987,2,6.305810451507568,tas,1987-02-15,3.9309980869293213,2.374812364578247
TUR.40.25_1,1987-03-01,1987,3,3.6334471702575684,tas,1987-03-16,8.47136116027832,-4.837913990020752
TUR.40.25_1,1987-04-01,1987,4,9.709375381469727,tas,1987-04-16,11.402353286743164,-1.6929779052734375
TUR.40.25_1,1987-05-01,1987,5,15.023096084594727,tas,1987-05-16,16.931554794311523,-1.9084587097167969
TUR.40.25_1,1987-06-01,1987,6,20.320459365844727,tas,1987-06-16,22.218860626220703,-1.8984012603759766
TUR.40.25_1,1987-07-01,1987,7,23.515527725219727,tas,1987-07-16,23.392005920410156,0.12352180480957031
TUR.40.25_1,1987-08-01,1987,8,21.710351943969727,tas,1987-08-16,21.77015495300293,-0.059803009033203125
TUR.40.25_1,1987-09-01,1987,9,20.428613662719727,tas,1987-09-16,20.183961868286133,0.24465179443359375
TUR.40.25_1,1987-10-01,1987,10,14.182764053344727,tas,1987-10-16,17.163299560546875,-2.9805355072021484
TUR.40.25_1,1987-11-01,1987,11,11.275049209594727,tas,1987-11-16,9.090906143188477,2.18414306640625
TUR.40.25_1,1987-12-01,1987,12,7.005273342132568,tas,1987-12-16,6.563662052154541,0.44161128997802734
TUR.40.25_1,1988-01-01,1988,1,6.550439357757568,tas,1988-01-16,3.77197265625,2.7784667015075684
TUR.40.25_1,1988-02-01,1988,2,5.746972560882568,tas,1988-02-15,7.043099403381348,-1.2961268424987793
TUR.40.25_1,1988-03-01,1988,3,8.315088272094727,tas,1988-03-16,7.274673938751221,1.0404143333435059
TUR.40.25_1,1988-04-01,1988,4,10.916406631469727,tas,1988-04-16,12.258256912231445,-1.3418502807617188
TUR.40.25_1,1988-05-01,1988,5,15.616357803344727,tas,1988-05-16,14.396919250488281,1.2194385528564453
TUR.40.25_1,1988-06-01,1988,6,21.216943740844727,tas,1988-06-16,19.703868865966797,1.5130748748779297
TUR.40.25_1,1988-07-01,1988,7,24.217432022094727,tas,1988-07-16,23.638044357299805,0.5793876647949219
TUR.40.25_1,1988-08-01,1988,8,23.615869522094727,tas,1988-08-16,21.54013442993164,2.075735092163086
TUR.40.25_1,1988-09-01,1988,9,19.974267959594727,tas,1988-09-16,18.744943618774414,1.2293243408203125
TUR.40.25_1,1988-10-01,1988,10,14.40346622467041,tas,1988-10-16,15.017321586608887,-0.6138553619384766
TUR.40.25_1,1988-11-01,1988,11,7.812158107757568,tas,1988-11-16,11.559420585632324,-3.747262477874756
TUR.40.25_1,1988-12-01,1988,12,6.842675685882568,tas,1988-12-16,6.943194389343262,-0.10051870346069336
TUR.40.25_1,1989-01-01,1989,1,3.9786620140075684,tas,1989-01-16,4.842063903808594,-0.8634018898010254
TUR.40.25_1,1989-02-01,1989,2,5.871973037719727,tas,1989-02-15,6.284318447113037,-0.41234540939331055
TUR.40.25_1,1989-03-01,1989,3,9.158105850219727,tas,1989-03-16,7.934638500213623,1.2234673500061035
TUR.40.25_1,1989-04-01,1989,4,14.63979434967041,tas,1989-04-16,12.870987892150879,1.7688064575195313
TUR.40.25_1,1989-05-01,1989,5,15.96205997467041,tas,1989-05-16,17.65645408630371,-1.6943941116333008
TUR.40.25_1,1989-06-01,1989,6,20.248926162719727,tas,1989-06-16,20.90741729736328,-0.6584911346435547
TUR.40.25_1,1989-07-01,1989,7,22.367334365844727,tas,1989-07-16,23.030603408813477,-0.66326904296875
TUR.40.25_1,1989-08-01,1989,8,23.305564880371094,tas,1989-08-16,22.489030838012695,0.8165340423583984
TUR.40.25_1,1989-09-01,1989,9,19.869043350219727,tas,1989-09-16,20.205886840820313,-0.33684349060058594
TUR.40.25_1,1989-10-01,1989,10,14.340967178344727,tas,1989-10-16,19.38426399230957,-5.043296813964844
TUR.40.25_1,1989-11-01,1989,11,9.63320255279541,tas,1989-11-16,14.09473991394043,-4.4615373611450195
TUR.40.25_1,1989-12-01,1989,12,7.132958889007568,tas,1989-12-16,12.848099708557129,-5.7151408195495605
TUR.40.25_1,1990-01-01,1990,1,3.9937989711761475,tas,1990-01-16,10.12210464477539,-6.128305673599243
