district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,main,2042,11,0.3169429862769339,2.781819323442242e-4,2.2864573486103268e-5,0.7251823004971923,1.1491648085898385,0.25,30,3,1.087014930095096e-6,3.2610447902852886e-6,3.261044790285288e-5,3.261044790285288e-5,3.261039473123617e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2042,12,0.3169429862769339,2.781819323442242e-4,2.0624893984688697e-5,0.6541469635058071,1.1491648085898385,0.25,31,3,9.805373236728609e-7,2.941611971018583e-6,3.0396657033858687e-5,3.0396657033858687e-5,2.9416076444688244e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,1,0.3169429862769339,2.781819323442242e-4,1.9445388940719788e-5,0.6281034622015411,1.1283689153508025,0.25,31,3,9.244619460282291e-7,2.7733858380846873e-6,2.86583203268751e-5,2.86583203268751e-5,2.7733819922826086e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,2,0.3169429862769339,2.781819323442242e-4,2.026520794540243e-5,0.6545846179366359,1.1283689153508025,0.25,28,3,9.634373285608341e-7,2.8903119856825026e-6,2.6976245199703356e-5,2.6976245199703356e-5,2.8903078087560985e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,3,0.3169429862769339,2.781819323442242e-4,2.0176206982580602e-5,0.6517097770197132,1.1283689153508025,0.25,31,3,9.592060939200932e-7,2.8776182817602797e-6,2.9735388911522892e-5,2.9735388911522892e-5,2.877614141416629e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,4,0.3169429862769339,2.781819323442242e-4,2.480872873211748e-5,0.8013462854757657,1.1283689153508025,0.25,30,3,1.179442885513753e-6,3.538328656541258e-6,3.5383286565412584e-5,3.5383286565412584e-5,3.538322396634541e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,5,0.3169429862769339,2.781819323442242e-4,3.415384647820208e-5,1.103207914941687,1.1283689153508025,0.25,31,3,1.6237233143467961e-6,4.871169943040388e-6,5.033542274475068e-5,5.033542274475068e-5,4.871158078900706e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,6,0.3169429862769339,2.781819323442242e-4,3.867977487392871e-5,1.2494033544433176,1.1283689153508025,0.25,30,3,1.838892503559372e-6,5.516677510678115e-6,5.5166775106781154e-5,5.5166775106781154e-5,5.516662293869601e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,7,0.3169429862769339,2.781819323442242e-4,4.4385957078896254e-5,1.4337240087847871,1.1283689153508025,0.25,31,3,2.1101726678017787e-6,6.330518003405337e-6,6.541535270185514e-5,6.541535270185514e-5,6.3304979657230476e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,8,0.3169429862769339,2.781819323442242e-4,4.7498185677952165e-5,1.5342554185233497,1.1283689153508025,0.25,31,3,2.2581325217259675e-6,6.774397565177903e-6,7.0002108173505e-5,7.0002108173505e-5,6.774374619045176e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,9,0.3169429862769339,2.781819323442242e-4,4.0887978033699035e-5,1.3207324366221658,1.1283689153508025,0.25,30,3,1.943873679123937e-6,5.831621037371812e-6,5.831621037371812e-5,5.831621037371812e-5,5.831604033557092e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,10,0.3169429862769339,2.781819323442242e-4,3.850022173756962e-5,1.243603460048037,1.1283689153508025,0.25,31,3,1.8303562874744158e-6,5.491068862423248e-6,5.674104491170689e-5,5.674104491170689e-5,5.4910537865549e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,11,0.3169429862769339,2.781819323442242e-4,2.245080873453098e-5,0.7251823004971923,1.1283689153508025,0.25,30,3,1.067343954698178e-6,3.202031864094534e-6,3.2020318640945344e-5,3.2020318640945344e-5,3.2020267376475786e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2043,12,0.3169429862769339,2.781819323442242e-4,2.0251658790715332e-5,0.6541469635058071,1.1283689153508025,0.25,31,3,9.627931821286255e-7,2.8883795463858767e-6,2.9846588645987394e-5,2.9846588645987394e-5,2.8883753749875396e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,1,0.3169429862769339,2.781819323442242e-4,1.9833101143507115e-5,0.6281034622015411,1.1508671403781745,0.25,31,3,9.428943455333426e-7,2.828683036600028e-6,2.9229724711533623e-5,2.9229724711533623e-5,2.8286790358933445e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,2,0.3169429862769339,2.781819323442242e-4,2.0669265953787708e-5,0.6545846179366359,1.1508671403781745,0.25,29,3,9.826468313318451e-7,2.9479404939955356e-6,2.8496758108623508e-5,2.8496758108623508e-5,2.947936148856023e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,3,0.3169429862769339,2.781819323442242e-4,2.0578490462774823e-5,0.6517097770197132,1.1508671403781745,0.25,31,3,9.783312330514883e-7,2.934993699154465e-6,3.0328268224596137e-5,3.0328268224596137e-5,2.9349893920782577e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,4,0.3169429862769339,2.781819323442242e-4,2.530337661943438e-5,0.8013462854757657,1.1508671403781745,0.25,30,3,1.2029591622980222e-6,3.6088774868940667e-6,3.608877486894066e-5,3.608877486894066e-5,3.6088709749471093e-6,0.15,0.6
TUR.59.4_1,Mugla,Fethiye,main,2044,5,0.3169429862769339,2.781819323442242e-4,3.483481839205993e-5,1.103207914941687,1.1508671403781745,0.25,31,3,1.6560977051391202e-6,4.968293115417361e-6,5.133902885931273e-5,5.133902885931273e-5,4.968280773454126e-6,0.15,0.6
