district_id,province_name,district_name,pi_scenario,year,month,V_TR,A_d,V_in_day,rate_pp_year,daily_rate,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.59.4_1,Mugla,Fethiye,low,2060,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,7.057043388478131e-7,2.1171107754680563e-6,1.3768102756615694,1.3249377846236992,0.25,30,3,0.0043801319765063166,0.01314039592951895,0.1314039592951895,0.1314039592951895,0.013054437846601208
TUR.59.4_1,Mugla,Fethiye,low,2060,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,7.057043388478131e-7,2.1171107754680563e-6,1.3130216771444592,1.3249377846236992,0.25,31,3,0.004177197349244719,0.012531592047734156,0.1294931178265863,0.1294931178265863,0.012453398618308409
TUR.59.4_1,Mugla,Fethiye,low,2060,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,7.057043388478131e-7,2.1171107754680563e-6,0.7870049555407285,1.3249377846236992,0.25,30,3,0.002503747707560124,0.007511243122680372,0.07511243122680372,0.07511243122680372,0.007483104232814175
TUR.59.4_1,Mugla,Fethiye,low,2060,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,7.057043388478131e-7,2.1171107754680563e-6,0.6264425155919956,1.3249377846236992,0.25,31,3,0.0019929404526481237,0.005978821357944371,0.061781154032091834,0.061781154032091834,0.005960983772479778
TUR.59.4_1,Mugla,Fethiye,low,2061,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.6279892517689902,1.1980190486356805,0.25,31,3,0.0018064817994704148,0.005419445398411244,0.05600093578358286,0.05600093578358286,0.0054047866968305325
TUR.59.4_1,Mugla,Fethiye,low,2061,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.520085854004514,1.1980190486356805,0.25,28,3,0.0014960855249904694,0.0044882565749714085,0.041890394699733144,0.041890394699733144,0.004478199403444738
TUR.59.4_1,Mugla,Fethiye,low,2061,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.5766633896290498,1.1980190486356805,0.25,31,3,0.0016588371773104842,0.004976511531931453,0.051423952496625014,0.051423952496625014,0.00496414921399202
TUR.59.4_1,Mugla,Fethiye,low,2061,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.7879489782849164,1.1980190486356805,0.25,30,3,0.002266623965574848,0.006799871896724544,0.06799871896724544,0.06799871896724544,0.006776805081228909
TUR.59.4_1,Mugla,Fethiye,low,2061,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.0658170884747757,1.1980190486356805,0.25,31,3,0.003065942874771515,0.009197828624314546,0.09504422911791696,0.09504422911791696,0.009155657990408184
TUR.59.4_1,Mugla,Fethiye,low,2061,6,0.23513635462383914,2193928,7445.890982598921,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.2387599814800696,1.1980190486356805,0.25,30,3,0.003563432581293989,0.010690297743881968,0.10690297743881967,0.10690297743881967,0.010633359586861402
TUR.59.4_1,Mugla,Fethiye,low,2061,7,0.23513635462383914,2193928,8461.901530606445,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.407791895937949,1.1980190486356805,0.25,31,3,0.00404967191761646,0.01214901575284938,0.12553982944611025,0.12553982944611025,0.012075514418366295
TUR.59.4_1,Mugla,Fethiye,low,2061,8,0.23513635462383914,2193928,10047.97467293547,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.6716641364809814,1.1980190486356805,0.25,31,3,0.004808730131723948,0.014426190395171845,0.1490706340834424,0.1490706340834424,0.014322631495409244
TUR.59.4_1,Mugla,Fethiye,low,2061,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.3768102756615694,1.1980190486356805,0.25,30,3,0.0039605497981060915,0.011881649394318274,0.11881649394318275,0.11881649394318275,0.011811341332228276
TUR.59.4_1,Mugla,Fethiye,low,2061,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,1.3130216771444592,1.1980190486356805,0.25,31,3,0.003777054711350571,0.011331164134051714,0.1170886960518677,0.1170886960518677,0.011267208286399377
TUR.59.4_1,Mugla,Fethiye,low,2061,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.7870049555407285,1.1980190486356805,0.25,30,3,0.002263908377846463,0.00679172513353939,0.06791725133539389,0.06791725133539389,0.00676871349410979
TUR.59.4_1,Mugla,Fethiye,low,2061,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,6.381033513091694e-7,1.914308221606653e-6,0.6264425155919956,1.1980190486356805,0.25,31,3,0.0018020324386820693,0.005406097316046208,0.055863005599144144,0.055863005599144144,0.0053915106693989134
TUR.59.4_1,Mugla,Fethiye,low,2062,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.6279892517689902,1.2510774806193279,0.25,31,3,0.0018864880364160062,0.005659464109248019,0.05848112912889619,0.05848112912889619,0.005643479511215355
TUR.59.4_1,Mugla,Fethiye,low,2062,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.520085854004514,1.2510774806193279,0.25,28,3,0.001562344799254039,0.004687034397762117,0.0437456543791131,0.0437456543791131,0.004676067392972438
TUR.59.4_1,Mugla,Fethiye,low,2062,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.5766633896290498,1.2510774806193279,0.25,31,3,0.0017323044662147875,0.005196913398644362,0.053701438452658415,0.053701438452658415,0.00518343280680722
TUR.59.4_1,Mugla,Fethiye,low,2062,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.7879489782849164,1.2510774806193279,0.25,30,3,0.0023670091751626225,0.007101027525487868,0.07101027525487867,0.07101027525487867,0.007075874801471871
TUR.59.4_1,Mugla,Fethiye,low,2062,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.0658170884747757,1.2510774806193279,0.25,31,3,0.0032017286613609665,0.009605185984082899,0.09925358850218996,0.09925358850218996,0.009559203526308235
TUR.59.4_1,Mugla,Fethiye,low,2062,6,0.23513635462383914,2193928,7445.890982598921,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.2387599814800696,1.2510774806193279,0.25,30,3,0.003721251404335675,0.011163754213007025,0.11163754213007024,0.11163754213007024,0.011101670751878068
TUR.59.4_1,Mugla,Fethiye,low,2062,7,0.23513635462383914,2193928,8461.901530606445,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.407791895937949,1.2510774806193279,0.25,31,3,0.004229025515913278,0.012687076547739835,0.13109979099331162,0.13109979099331162,0.012606934871293496
TUR.59.4_1,Mugla,Fethiye,low,2062,8,0.23513635462383914,2193928,10047.97467293547,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.6716641364809814,1.2510774806193279,0.25,31,3,0.005021701224174975,0.015065103672524926,0.15567273794942424,0.15567273794942424,0.014952192714406287
TUR.59.4_1,Mugla,Fethiye,low,2062,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.3768102756615694,1.2510774806193279,0.25,30,3,0.004135956317936506,0.012407868953809516,0.12407868953809517,0.12407868953809517,0.012331208738691646
TUR.59.4_1,Mugla,Fethiye,low,2062,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,1.3130216771444592,1.2510774806193279,0.25,31,3,0.003944334522462626,0.011833003567387878,0.12227437019634141,0.12227437019634141,0.011763268908512203
TUR.59.4_1,Mugla,Fethiye,low,2062,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.7870049555407285,1.2510774806193279,0.25,30,3,0.002364173318325904,0.007092519954977712,0.07092519954977712,0.07092519954977712,0.007067427393532055
TUR.59.4_1,Mugla,Fethiye,low,2062,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,6.663639731269373e-7,1.999089921156383e-6,0.6264425155919956,1.2510774806193279,0.25,31,3,0.001881841620438069,0.0056455248613142064,0.058337090233580136,0.058337090233580136,0.005629618832538097
TUR.59.4_1,Mugla,Fethiye,low,2063,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.6279892517689902,1.1451340628022575,0.25,31,3,0.0017267370934144505,0.005180211280243352,0.05352884989584797,0.05352884989584797,0.005166817123956502
TUR.59.4_1,Mugla,Fethiye,low,2063,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.520085854004514,1.1451340628022575,0.25,28,3,0.0014300428444276633,0.00429012853328299,0.040041199643974575,0.040041199643974575,0.004280939077878743
TUR.59.4_1,Mugla,Fethiye,low,2063,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.5766633896290498,1.1451340628022575,0.25,31,3,0.0015856100442510148,0.004756830132753045,0.04915391137178146,0.04915391137178146,0.0047455343341265
TUR.59.4_1,Mugla,Fethiye,low,2063,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.7879489782849164,1.1451340628022575,0.25,30,3,0.002166566903318722,0.006499700709956166,0.06499700709956166,0.06499700709956166,0.006478623345540391
TUR.59.4_1,Mugla,Fethiye,low,2063,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.0658170884747757,1.1451340628022575,0.25,31,3,0.0029306009557969054,0.008791802867390716,0.09084862962970407,0.09084862962970407,0.008753267981624235
TUR.59.4_1,Mugla,Fethiye,low,2063,6,0.23513635462383914,2193928,7445.890982598921,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.2387599814800696,1.1451340628022575,0.25,30,3,0.003406129649247378,0.010218388947742133,0.10218388947742134,0.10218388947742134,0.010166358584369317
TUR.59.4_1,Mugla,Fethiye,low,2063,7,0.23513635462383914,2193928,8461.901530606445,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.407791895937949,1.1451340628022575,0.25,31,3,0.0038709046049382532,0.01161271381481476,0.11999804275308586,0.11999804275308586,0.011545546503409554
TUR.59.4_1,Mugla,Fethiye,low,2063,8,0.23513635462383914,2193928,10047.97467293547,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.6716641364809814,1.1451340628022575,0.25,31,3,0.004596455216488599,0.013789365649465797,0.14249011171114656,0.14249011171114656,0.013694727844792087
TUR.59.4_1,Mugla,Fethiye,low,2063,9,0.23513635462383914,2193928,8275.678395785304,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.3768102756615694,1.1451340628022575,0.25,30,3,0.003785716661363409,0.011357149984090226,0.11357149984090227,0.11357149984090227,0.011292901014627876
TUR.59.4_1,Mugla,Fethiye,low,2063,10,0.23513635462383914,2193928,7892.260334504628,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,1.3130216771444592,1.1451340628022575,0.25,31,3,0.0036103217180803123,0.010830965154240937,0.11191997326048968,0.11191997326048968,0.01077252144206553
TUR.59.4_1,Mugla,Fethiye,low,2063,11,0.23513635462383914,2193928,4730.499200272766,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.7870049555407285,1.1451340628022575,0.25,30,3,0.0021639711915532353,0.0064919135746597054,0.06491913574659706,0.06491913574659706,0.006470886630037143
TUR.59.4_1,Mugla,Fethiye,low,2063,12,0.23513635462383914,2193928,3765.396644788262,1.9441070114292855e-4,6.099351124713348e-7,1.8298036633668247e-6,0.6264425155919956,1.1451340628022575,0.25,31,3,0.0017224841436656781,0.005167452430997034,0.05339700845363602,0.05339700845363602,0.005154124116377057
TUR.59.4_1,Mugla,Fethiye,low,2064,1,0.23513635462383914,2193928,3774.6937072740748,1.9441070114292855e-4,6.861921632184641e-7,2.058574370744637e-6,0.6279892517689902,1.288304286247103,0.25,31,3,0.0019426219308013673,0.005827865792404102,0.06022127985484239,0.06022127985484239,0.005810916724172888
TUR.59.4_1,Mugla,Fethiye,low,2064,2,0.23513635462383914,2193928,3126.112102751823,1.9441070114292855e-4,6.861921632184641e-7,2.058574370744637e-6,0.520085854004514,1.288304286247103,0.25,29,3,0.001608833563699882,0.0048265006910996455,0.046656173347296576,0.046656173347296576,0.004814871853026537
TUR.59.4_1,Mugla,Fethiye,low,2064,3,0.23513635462383914,2193928,3466.1861837865263,1.9441070114292855e-4,6.861921632184641e-7,2.058574370744637e-6,0.5766633896290498,1.288304286247103,0.25,31,3,0.0017838505105430256,0.005351551531629077,0.05529936582683379,0.05529936582683379,0.005337257489532843
TUR.59.4_1,Mugla,Fethiye,low,2064,4,0.23513635462383914,2193928,4736.173495974438,1.9441070114292855e-4,6.861921632184641e-7,2.058574370744637e-6,0.7879489782849164,1.288304286247103,0.25,30,3,0.0024374413435532516,0.0073123240306597545,0.07312324030659755,0.07312324030659755,0.007285654035437128
TUR.59.4_1,Mugla,Fethiye,low,2064,5,0.23513635462383914,2193928,6406.372474748733,1.9441070114292855e-4,6.861921632184641e-7,2.058574370744637e-6,1.0658170884747757,1.288304286247103,0.25,31,3,0.0032969985464904087,0.009890995639471226,0.10220695494120267,0.10220695494120267,0.009842240619737153
